Date,"m=3, W=252","m=3, W=504","m=4, W=252","m=4, W=504"
1955-07-13,0.9883261876653732,0.9923168777494082,0.9681862564287419,0.9804875453991782
1955-07-14,0.9894666498027919,0.992655096727778,0.9689296828883307,0.9808009119147452
1955-07-15,0.9891718221114899,0.9923493411917426,0.967793510147736,0.9803045898916796
1955-07-18,0.9882796750815276,0.9921397958949489,0.9675398296924544,0.979901714084633
1955-07-19,0.9881894600400885,0.9918114619404249,0.9672654600295248,0.9795740930801702
1955-07-20,0.9890816070700508,0.9920345657947242,0.9683785618247222,0.9795347351855879
1955-07-21,0.98917182211149,0.9920345657947242,0.9677935101477362,0.9792627424216244
1955-07-22,0.9888109354486764,0.9923403213307598,0.9668689379168951,0.9793102661829994
1955-07-25,0.98917182211149,0.9925197904626935,0.9674200589805038,0.979949312920307
1955-07-26,0.9893726348578378,0.9928618503727752,0.9693836596323477,0.9802532565196562
